Strain,Replicate,Day,Primer
28,1,0,1
28,1,1,13
28,1,2,25
28,1,3,37
28,1,4,49
28,2,0,61
28,2,1,73
28,2,2,85
28,2,3,2
28,2,4,14
46,1,0,26
46,1,1,38
46,1,2,50
46,1,3,62
46,1,4,74
46,2,0,86
46,2,1,3
46,2,2,15
46,2,3,27
46,2,4,39
1159A,1,0,51
1159A,1,1,63
1159A,1,2,75
1159A,1,3,87
1159A,1,4,4
1159B,1,0,16
1159B,1,1,28
1159B,1,2,40
1159B,1,3,52
1159B,1,4,64
2174A,1,0,76
2174A,1,1,88
2174A,1,2,5
2174A,1,3,17
2174A,1,4,29
2174B,1,0,41
2174B,1,1,53
2174B,1,2,65
2174B,1,3,77
2174B,1,4,89
4531A,1,0,6
4531A,1,1,18
4531A,1,2,30
4531A,1,3,42
4531A,1,4,54
4531B,1,0,66
4531B,1,1,78
4531B,1,2,90
4531B,1,3,7
4531B,1,4,19
7184A,1,0,31
7184A,1,1,43
7184A,1,2,55
7184A,1,3,67
7184A,1,4,79
7184B,1,0,91
7184B,1,1,8
7184B,1,2,20
7184B,1,3,32
7184B,1,4,44
8601B,1,0,56
8601B,1,1,68
8601B,1,2,80
8601B,1,3,92
8601B,1,4,9
10407,1,0,21
10407,1,1,33
10407,1,2,45
10407,1,3,57
10407,1,4,69
10408,1,0,81
10408,1,1,93
10408,1,2,10
10408,1,3,22
10408,1,4,34
10950,1,0,46
10950,1,1,58
10950,1,2,70
10950,1,3,82
10950,1,4,94
10951,1,0,11
10951,1,1,23
10951,1,2,35
10951,1,3,47
10951,1,4,59
11342,1,0,71
11342,1,1,83
11342,1,2,95
11342,1,3,12
11342,1,4,24
11343,1,0,36
11343,1,1,48
11343,1,2,60
11343,1,3,72
11343,1,4,84